,Unnamed: 0,name,inn,start_date,region,city,street,house,end_date
39,39,МУЗ Г.СОЧИ ПЦ,2320136565,15.02.2006,,,,,06.10.2010
40,40,ОГАУЗ ОПЦ ИМ. И.Д.ЕВТУШЕНКО,7017245682,09.09.2009,томская область, ГОРОД ТОМСК, УЛИЦА ИВАНА ЧЕРНЫХ, 96/1,
41,41,ГБУЗ РПЦ,275041731,24.06.2003,башкортостан республика, ГОРОД УФА, УЛИЦА АВРОРЫ, ДОМ 16,29.12.2017
42,42,ГБУЗ МО ВПЦ,5003042382,30.12.2002,московская область, РАЙОН ЛЕНИНСКИЙ, ГОРОД ВИДНОЕ, УЛИЦА ЗАВОДСКАЯ,
43,43,ГБУ РКПЦ,608044770,22.03.2017,ингушетия республика, ГОРОД НАЗРАНЬ, ТЕРРИТОРИЯ НАСЫР-КОРТСКИЙ ОКРУГ, УЛИЦА БАКИНСКАЯ,
44,44,ГБУЗ ВО ОПЦ,3329015380,24.01.2003,владимирская область, ГОРОД ВЛАДИМИР, ПРОЕЗД КОНСТАНТИНО-ЕЛЕНИНСКИЙ, 1,
45,45,ГБУЗ РМ МРКПЦ,1327011203,19.07.2010,мордовия республика, ГОРОД САРАНСК, УЛИЦА ПОБЕДЫ, 18,17.09.2018
46,46,БУЗОО ГКПЦ,5503031300,19.02.2003,омская область, ГОРОД ОМСК, УЛИЦА ГЕРЦЕНА, 69,
47,47,ГБУЗ ВОКПЦ № 2,3446036257,23.11.2009,волгоградская область, ГОРОД ВОЛГОГРАД, УЛИЦА ИМ МАРШАЛА ВАСИЛЕВСКОГО, 70,
48,48,ОГБУЗ ИГПЦ,3808015003,10.02.2003,иркутская область, ГОРОД ИРКУТСК, УЛИЦА СУРИКОВА, 16,
49,49,ГБУЗ МО МОПЦ,5001040936,11.03.2003,московская область, ГОРОД БАЛАШИХА, ШОССЕ ЭНТУЗИАСТОВ, 12,
50,50,ГБУ РД ПЦ Г. ХАСАВЮРТА,544009087,13.03.2014,дагестан республика, ГОРОД ХАСАВЮРТ, УЛИЦА АЛИЕВА, ДОМ 21,
51,51,ГАУЗ ЭПЦ,6449008528,13.09.2002,саратовская область, ГОРОД ЭНГЕЛЬС, УЛИЦА ВЕСЕННЯЯ, 8,
52,52,ГБУЗ ОКПЦ,5610041254,25.12.2002,оренбургская область, ГОРОД ОРЕНБУРГ, ПРОСПЕКТ ГАГАРИНА, 23,
53,53,ГБУЗ МО ЩПЦ,5050129513,16.12.2016,московская область, РАЙОН ЩЕЛКОВСКИЙ, ГОРОД ЩЕЛКОВО, УЛИЦА ПАРКОВАЯ,
54,54,ГБУ РПЦ,1435309371,16.06.2016,,,,,11.05.2018
55,55,ГБУЗ СК СККПЦ,2633002721,10.11.2002,ставропольский край, ГОРОД СТАВРОПОЛЬ, УЛИЦА ЛОМОНОСОВА, 44,
56,56,КГБУЗ АККПЦ,2225171626,17.06.2016,алтайский край, ГОРОД БАРНАУЛ, УЛИЦА ФОМИНА, ДОМ 154,
57,57,ГБУ РД РПЦ-МП,572015149,30.08.2016,дагестан республика, ГОРОД МАХАЧКАЛА, УЛИЦА АХМЕДА МАГОМЕДОВА, ДОМ 2,
58,58,ГУЗ ПЦ Г.СИБАЙ,267008890,18.12.2002,,,,,12.04.2016
59,59,ГАУЗ КО НПЦ,4217034429,11.10.2002,кемеровская область, ГОРОД НОВОКУЗНЕЦК, УЛИЦА СЕЧЕНОВА (ЦЕНТРАЛЬНЫЙ Р-Н), 26,
60,60,РГБЛПУ РПЦ,901019462,04.09.2002,карачаево-черкесская республика, ГОРОД ЧЕРКЕССК, УЛИЦА ГРИБОЕДОВА, 77,
61,61,ГБУЗ ОПЦ,7451002162,31.12.2002,челябинская область, ГОРОД ЧЕЛЯБИНСК, УЛИЦА ВОРОВСКОГО, ДОМ 70,
62,62,ГБУЗ РПЦ,1001042118,18.12.2002,карелия республика, ГОРОД ПЕТРОЗАВОДСК, УЛИЦА СЫКТЫВКАРСКАЯ (ДРЕВЛЯНКА Р-Н), ДОМ 9,
63,63,ГБУЗ РХ РКПЦ,1901008335,29.08.2002,хакасия республика, ГОРОД АБАКАН, УЛИЦА КРЫЛОВА, ДОМ 66,
64,64,БУЗ РА ПЦ,411100361,03.12.2002,алтай республика, ГОРОД ГОРНО-АЛТАЙСК, УЛИЦА В.И.ЧАПТЫНОВА, 1,
65,65,БУЗ ОРЛОВСКОЙ ОБЛАСТИ ОПЦ,5753000351,31.12.2002,орловская область, ГОРОД ОРЁЛ, УЛИЦА ГЕНЕРАЛА ЖАДОВА, 4,12.05.2016
66,66,ГБУЗ ПКПЦ,2543049860,05.06.2014,приморский край, ГОРОД ВЛАДИВОСТОК, УЛИЦА МОЖАЙСКАЯ, 1Б,
67,67,КГБУЗ ПЦ (К) АК,2223011465,30.12.2002,алтайский край, ГОРОД БАРНАУЛ, УЛИЦА ПОПОВА, 29,29.12.2018
68,68,ГБУЗ РК КРПЦ,1101487382,09.09.2002,коми республика, ГОРОД СЫКТЫВКАР, УЛИЦА ПУШКИНА, 114,
69,69,ГУЗ БОПЦ,3124009996,04.09.2002,,,,,17.02.2005
70,70,МБУ ЕКПЦ,6660055529,05.11.2002,свердловская область, ГОРОД ЕКАТЕРИНБУРГ, УЛИЦА КОМСОМОЛЬСКАЯ, 9,
71,71,ГБУЗ МО Н-ФПЦ,5030090000,15.12.2016,московская область, ГОРОД НАРО-ФОМИНСК, УЛИЦА КАЛИНИНА, ДОМ 30,
72,72,ГАУЗ ГПЦ Г.У-У,323079343,15.11.2002,бурятия республика, ГОРОД УЛАН-УДЭ, ПРОСПЕКТ СТРОИТЕЛЕЙ, 2,
73,73,ОБУЗ ОПЦ,4629021490,12.08.2002,курская область, ГОРОД КУРСК, ПРОСПЕКТ ВЯЧЕСЛАВА КЛЫКОВА, ДОМ 100,
74,74,ГУЗ СО БАЛАКОВСКИЙ ПЦ,6439011144,05.12.2002,саратовская область, ГОРОД БАЛАКОВО, УЛИЦА АКАДЕМИКА ЖУК, 66,17.05.2019
75,75,ГБУЗ РА АРКПЦ,105031422,19.11.2002,адыгея республика, ГОРОД МАЙКОП, УЛИЦА ГАГАРИНА, 4,24.03.2015
76,76,ГБУ РО ПЦ,6161053565,19.11.2008,ростовская область, ГОРОД РОСТОВ-НА-ДОНУ, УЛИЦА БОДРАЯ, 90,
77,77,ГОБУЗ МОПЦ,5190404150,10.11.2002,мурманская область, ГОРОД МУРМАНСК, УЛИЦА АДМИРАЛА ФЛОТА ЛОБОВА, 8,03.06.2019
78,78,ГУЗ ЛОПЦ,4825053843,03.10.2007,липецкая область, ГОРОД ЛИПЕЦК, УЛИЦА МОСКОВСКАЯ, ВЛАДЕНИЕ 6Г,
79,79,ГУЗ ТОПЦ,7105015247,02.12.2002,тульская область, ГОРОД ТУЛА, ПРОЕЗД 2-Й ГАСТЕЛЛО, 19,
80,80,ГБУЗ РПЦ,1001042118,18.12.2002,карелия республика, ГОРОД ПЕТРОЗАВОДСК, УЛИЦА СЫКТЫВКАРСКАЯ (ДРЕВЛЯНКА Р-Н), ДОМ 9,
81,81,ГБУЗ РХ РКПЦ,1901008335,29.08.2002,хакасия республика, ГОРОД АБАКАН, УЛИЦА КРЫЛОВА, ДОМ 66,
82,82,БУЗ ОРЛОВСКОЙ ОБЛАСТИ ОПЦ,5753000351,31.12.2002,орловская область, ГОРОД ОРЁЛ, УЛИЦА ГЕНЕРАЛА ЖАДОВА, 4,12.05.2016
83,83,БУЗ РА ПЦ,411100361,03.12.2002,алтай республика, ГОРОД ГОРНО-АЛТАЙСК, УЛИЦА В.И.ЧАПТЫНОВА, 1,
84,84,ГБУЗ ПКПЦ,2543049860,05.06.2014,приморский край, ГОРОД ВЛАДИВОСТОК, УЛИЦА МОЖАЙСКАЯ, 1Б,
85,85,ГУЗ ПЦ Г.СИБАЙ,267008890,18.12.2002,,,,,12.04.2016
86,86,МБУ ЕКПЦ,6660055529,05.11.2002,свердловская область, ГОРОД ЕКАТЕРИНБУРГ, УЛИЦА КОМСОМОЛЬСКАЯ, 9,
87,87,ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ ГБУ РМЭ ПЕРИНАТАЛЬНЫЙ ЦЕНТР ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,1215049512,02.12.2002,,,,,
88,88,ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ МУНИЦИПАЛЬНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДСКОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР ПРОФЕССИОНАЛЬНОГО СОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,2127327610,01.10.2003,,,,,29.11.2010
89,89,ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ СОГУЗ ПЕРИНАТАЛЬНЫЙ ЦЕНТР СМОЛЕНСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,6731024600,31.12.2002,,,,,26.10.2012
90,90,ПОПР БУЗОО ГОРОДСКОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР ООПРЗ РФ,5504055287,04.10.2002,,,,,
91,91,ППО БУ ПРЕЗИДЕНТСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР МИНЗДРАВСОЦРАЗВИТИЯ ЧУВАШИИ ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,2128031920,10.12.2002,,,,,
92,92,ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА МУНИЦИПАЛЬНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДСКОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР КУРСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ПРОФЕССИОНАЛЬНОГО СОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,4629033664,14.11.2002,,,,,
93,93,ГАУЗ РПЦ МЗ РБ,323049187,04.11.2002,бурятия республика, ГОРОД УЛАН-УДЭ, УЛИЦА ПИРОГОВА, ДОМ 15Б,
94,94,ГБУЗ РКПЦ МЗ РБ,274065962,26.02.2003,башкортостан республика, ГОРОД УФА, УЛИЦА БАТЫРСКАЯ, ДОМ 41,
95,95,БУЗ ПЦ МЗ УР,1833054549,17.12.2009,,,,,26.03.2012
96,96,ГАУЗ ПЦ Г. НОВОРОССИЙСКА МЗ КК,2315158651,19.03.2010,краснодарский край, ГОРОД НОВОРОССИЙСК, УЛИЦА РЕВОЛЮЦИИ 1905 ГОДА, 30,
97,97,ГАУЗ КО ОКПЦ ИМ. Л.А. РЕШЕТОВОЙ,4205198398,20.04.2010,кемеровская область, ГОРОД КЕМЕРОВО, ПРОСПЕКТ ОКТЯБРЬСКИЙ, 22,24.05.2019
98,98,ГБУЗ ТО ОКПЦ ИМ. Е.М. БАКУНИНОЙ,6950111775,15.01.2010,тверская область, ГОРОД ТВЕРЬ, ШОССЕ ПЕТЕРБУРГСКОЕ, 115,
99,99,ГБУЗ ПЦ МЗ КК,2302000995,04.01.2003,краснодарский край, ГОРОД АРМАВИР, УЛИЦА ЭНГЕЛЬСА, 20,
100,100,ГАУЗ КО ОКПЦ ИМ. Л.А. РЕШЕТОВОЙ,4205198398,20.04.2010,кемеровская область, ГОРОД КЕМЕРОВО, ПРОСПЕКТ ОКТЯБРЬСКИЙ, 22,24.05.2019
101,101,ГАУЗ РПЦ МЗ РБ,323049187,04.11.2002,бурятия республика, ГОРОД УЛАН-УДЭ, УЛИЦА ПИРОГОВА, ДОМ 15Б,
102,102,ППОР ОГАУЗ ИГПЦ,3808188119,29.06.2011,,,,,
103,103,ГАУЗ ПЦ Г. НОВОРОССИЙСКА МЗ КК,2315158651,19.03.2010,краснодарский край, ГОРОД НОВОРОССИЙСК, УЛИЦА РЕВОЛЮЦИИ 1905 ГОДА, 30,
104,104,ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ ММУЗ МПЦ,5610046647,24.01.2003,,,,,31.03.2011
105,105,ППО ГБУЗ КО ОКПЦ ИМ. Л.А. РЕШЕТОВОЙ,4205996220,26.09.2012,кемеровская область, ГОРОД КЕМЕРОВО, ПРОСПЕКТ ОКТЯБРЬСКИЙ, 22,
106,106,ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА ОБУЗ ОПЦ,4629033417,14.11.2002,курская область, ГОРОД КУРСК, ПРОСПЕКТ ВЯЧЕСЛАВА КЛЫКОВА, 100,
107,107,ППО МЛПУ ЗПЦ Г. НОВОКУЗНЕЦКА ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,4217114949,30.04.2009,,,,,01.11.2016
108,108,ППО ГБУ РО ПЦ РОО ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,6161990053,29.06.2011,ростовская область, ГОРОД РОСТОВ-НА-ДОНУ, УЛИЦА БОДРАЯ, 90,
